,mkt_excess_daily
2015-03-05,0.0011125062130227749
2015-03-06,-0.014363264317392198
2015-03-09,0.003850307231858855
2015-03-10,-0.017190845680123197
2015-03-11,-0.002002379714498081
2015-03-12,0.012440231812455606
2015-03-13,-0.006176873302902856
2015-03-16,0.013360438630274444
2015-03-17,-0.003406613142892058
2015-03-18,0.012009243893723032
2015-03-19,-0.004962292815993502
2015-03-20,0.008896524585354006
2015-03-23,-0.001822724883839341
2015-03-24,-0.006232256273508246
2015-03-25,-0.014741784135144738
2015-03-26,-0.0024593016172609447
2015-03-27,0.0022891245746129918
2015-03-30,0.012085357276039025
2015-03-31,-0.008910933118022083
2015-04-01,-0.004046775251902619
2015-04-02,0.003447984026588114
2015-04-06,0.006511604370039605
2015-04-07,-0.0021383327641351932
2015-04-08,0.0026034732802211608
2015-04-09,0.004370161324466904
2015-04-10,0.005112351528345811
2015-04-13,-0.004668053721452432
2015-04-14,0.001553742757559107
2015-04-15,0.005059910136850708
2015-04-16,-0.0008534362589399123
2015-04-17,-0.011449225239108324
2015-04-20,0.00911805908558201
2015-04-21,-0.0015571707818939906
2015-04-22,0.00499639006261512
2015-04-23,0.0022779154714419572
2015-04-24,0.0021744092168478114
2015-04-27,-0.004226160141225939
2015-04-28,0.002686822582996588
2015-04-29,-0.0038282635626832777
2015-04-30,-0.010261079633517103
2015-05-01,0.010780528919069575
2015-05-04,0.002851631458333685
2015-05-05,-0.011993970182482586
2015-05-06,-0.004553977208133643
2015-05-07,0.0036811319856874664
2015-05-08,0.013283346297931828
2015-05-11,-0.0051920166324109845
2015-05-12,-0.0030434566156962123
2015-05-13,-0.0003940734685478185
2015-05-14,0.010634084457074195
2015-05-15,0.0006840940848847038
2015-05-18,0.0029557926678846634
2015-05-19,-0.0007326537757381662
2015-05-20,-0.001019633592316913
2015-05-21,0.002249179084792323
2015-05-22,-0.0023231285397728573
2015-05-26,-0.010419229650484106
2015-05-27,0.009036894186128309
2015-05-28,-0.0013512001301930713
2015-05-29,-0.00642176282848334
2015-06-01,0.0019713766751951753
2015-06-02,-0.0010981773432439713
2015-06-03,0.002023291394195103
2015-06-04,-0.00875118615915963
2015-06-05,-0.0015317159394756105
2015-06-08,-0.006589285995442978
2015-06-09,0.0003233773442158088
2015-06-10,0.011872505194616106
2015-06-11,0.0016433910993906957
2015-06-12,-0.007112600310240139
2015-06-15,-0.004725852420594747
2015-06-16,0.005582718724950247
2015-06-17,0.0018866726042692853
2015-06-18,0.009761824950361188
2015-06-19,-0.005406299379472484
2015-06-22,0.005983417525416772
2015-06-23,0.0005407782504064311
2015-06-24,-0.0074738037938661545
2015-06-25,-0.003072117357458779
2015-06-26,-0.00048775513720563936
2015-06-29,-0.02117836910825666
2015-06-30,0.002562787248819763
2015-07-01,0.006816820829635645
2015-07-02,-0.0004021833904088994
2015-07-06,-0.0039594687583001595
2015-07-07,0.005973488415972592
2015-07-08,-0.016880096528617872
2015-07-09,0.002168635854016434
2015-07-10,0.012168098210220763
2015-07-13,0.010909605509961406
2015-07-14,0.004348772529757096
2015-07-15,-0.0008278190995606863
2015-07-16,0.007890170645652337
2015-07-17,0.0010137842538600176
2015-07-20,0.000677598548440706
2015-07-21,-0.004362971346370741
2015-07-22,-0.00248196461983541
2015-07-23,-0.005781670387708399
2015-07-24,-0.010850092874557338
2015-07-27,-0.005879274869750016
2015-07-28,0.012221389660366488
2015-07-29,0.007202294790555012
2015-07-30,-6.109327230657808e-05
2015-07-31,-0.002360458927168823
2015-08-03,-0.0028454956343338857
2015-08-04,-0.0023397589716187064
2015-08-05,0.0030203780091617328
2015-08-06,-0.007870715727247981
2015-08-07,-0.002964601340125653
2015-08-10,0.012638927677099952
2015-08-11,-0.009687477915402665
2015-08-12,0.0008655788952329227
2015-08-13,-0.001361992692333689
2015-08-14,0.0038179771482420234
2015-08-17,0.0051130900199736155
2015-08-18,-0.002715338061750214
2015-08-19,-0.008372384053982794
2015-08-20,-0.021408042165228826
2015-08-21,-0.032449769122147074
2015-08-24,-0.040290415226306324
2015-08-25,-0.013697497387041579
2015-08-26,0.038205720950743705
2015-08-27,0.0239216760059021
2015-08-28,0.00052258433292373
2015-08-31,-0.008513822054273314
2015-09-01,-0.030107839948044033
2015-09-02,0.018041316297097525
2015-09-03,0.0010785372156309537
2015-09-04,-0.015531944966982255
2015-09-08,0.02468728207092139
2015-09-09,-0.014081779159373977
2015-09-10,0.0051765556402498195
2015-09-11,0.004390651318869167
2015-09-14,-0.004183619706831749
2015-09-15,0.012660227455103415
2015-09-16,0.008577504655973164
2015-09-17,-0.002651087832849359
2015-09-18,-0.016379867167089557
2015-09-21,0.004469036907555583
2015-09-22,-0.012478954762360085
2015-09-23,-0.0021355459190232824
2015-09-24,-0.003452288084012457
2015-09-25,-0.0005510919068365851
2015-09-28,-0.026083681556390566
2015-09-29,0.0011515673127128147
2015-09-30,0.018814983168455063
2015-10-01,0.0018914120780682744
2015-10-02,0.01413560022563434
2015-10-05,0.01804328928664773
2015-10-06,-0.003675215944412198
2015-10-07,0.00792182686704328
2015-10-08,0.008696532500172806
2015-10-09,0.0006416009161296759
2015-10-13,-0.005655074647904381
2015-10-14,-0.0048056237027103155
2015-10-15,0.014663413624031599
2015-10-16,0.004479923646373533
2015-10-19,0.0001903712165495704
2015-10-20,-0.0015037940464032388
2015-10-21,-0.005922586638457742
2015-10-22,0.016410709285270633
2015-10-23,0.010887872257960118
2015-10-26,-0.0019962372329545373
2015-10-27,-0.0026379124653566383
2015-10-28,0.011688018094562014
2015-10-29,-0.0005358422046132087
2015-10-30,-0.004906283377854767
2015-11-02,0.011717521212697493
2015-11-03,0.002636833120381682
2015-11-04,-0.0036399630068488526
2015-11-05,-0.0012214738980211666
2015-11-06,-0.00043946915061435297
2015-11-09,-0.009963853455325912
2015-11-10,0.001418443362646089
2015-11-12,-0.01741348244900524
2015-11-13,-0.011360100608484384
2015-11-16,0.014704230616338212
2015-11-17,-0.00142857308544824
2015-11-18,0.015944157699276092
2015-11-19,-0.0012116482839043337
2015-11-20,0.0037142711386265524
2015-11-23,-0.0013239199088857538
2015-11-24,0.0011333419900356604
2015-11-25,-0.0002166604196529943
2015-11-27,0.0005063099430044822
2015-11-30,-0.0047385435299077015
2015-12-01,0.010539525711518824
2015-12-02,-0.011142171123236861
2015-12-03,-0.014569226043795217
2015-12-04,0.02022839618752228
2015-12-07,-0.007101563765083588
2015-12-08,-0.006598960580519679
2015-12-09,-0.007856217982169084
2015-12-10,0.0021609486236695455
2015-12-11,-0.019697503968521338
2015-12-14,0.004656768259382186
2015-12-15,0.01047311992958544
2015-12-16,0.014320399591368748
2015-12-17,-0.015242684590801445
2015-12-18,-0.018043461831059423
2015-12-21,0.007661951601039086
2015-12-22,0.008690187636643757
2015-12-23,0.012252524349657738
2015-12-24,-0.0016882114710649852
2015-12-28,-0.002268844411231149
2015-12-29,0.010482652382219392
2015-12-30,-0.007334022727837109
2015-12-31,-0.009545557219363995
2016-01-04,-0.01550994975273106
2016-01-05,0.001921908072158274
2016-01-06,-0.01328774148641396
2016-01-07,-0.02407061820877411
2016-01-08,-0.010981173658553925
2016-01-11,0.0007677181902066372
2016-01-12,0.007689266473389178
2016-01-13,-0.0253640680684185
2016-01-14,0.016475590540802512
2016-01-15,-0.021915521514428733
2016-01-19,0.0004507647523187731
2016-01-20,-0.011841736905685421
2016-01-21,0.005102628768858026
2016-01-22,0.019999422650359044
2016-01-25,-0.015841293989087825
2016-01-26,0.013966266950580859
2016-01-27,-0.011002282167618461
2016-01-28,0.0054347688632416045
2016-01-29,0.024382404094065144
2016-02-01,-0.0005207493947007062
2016-02-02,-0.01899448976828652
2016-02-03,0.004905709449656703
2016-02-04,0.0014520472424683442
2016-02-05,-0.018727289766305687
2016-02-08,-0.014323901725972478
2016-02-09,-0.0007322944301194623
2016-02-10,-0.0002562516254014457
2016-02-11,-0.012441608365611707
2016-02-12,0.01926156142368671
2016-02-16,0.016311724110047634
2016-02-17,0.01627492751004208
2016-02-18,-0.004745475926849836
2016-02-19,-9.526706594359173e-05
2016-02-22,0.014281107372029462
2016-02-23,-0.012601031354147727
2016-02-24,0.0043611162317168176
2016-02-25,0.011217083235810315
2016-02-26,-0.0019410991137064023
2016-02-29,-0.00822258487493094
2016-03-01,0.023516422821478138
2016-03-02,0.004013597606097496
2016-03-03,0.0034206717401761328
2016-03-04,0.003226529294024378
2016-03-07,0.0008095438927190647
